640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5
34047	1270	1507	189	3102	1339	8508	12754	16123
34107	1259	1539	182	3084	1353	8570	12791	16087
34167	1285	1539	200	3090	1363	8481	12747	16046
34227	1251	1559	183	3002	1320	8470	12778	16079
34287	1292	1580	180	3050	1382	8480	12621	16011
34347	1287	1528	201	3028	1377	8560	12734	16038
34407	1254	1566	188	3012	1340	8530	12765	16144
34467	1280	1581	202	3062	1355	8438	12784	16158
34527	1251	1563	178	2998	1360	8476	12804	16086
34587	1279	1562	182	2994	1363	8504	12795	16082
34647	1252	1582	189	2962	1396	8577	12862	16127
34707	1271	1552	179	2971	1341	8448	12785	16012
34767	1271	1552	171	3002	1364	8430	12675	16168
34827	1297	1540	178	2916	1389	8486	12697	16096
34887	1280	1524	193	2941	1354	8522	12849	16035
34947	1273	1558	195	2918	1394	8509	12725	16039
35007	1269	1519	159	2928	1395	8467	12701	16038
35067	1250	1557	188	2950	1383	8462	12726	15929
35127	1266	1514	186	2932	1342	8528	12793	16099
35187	1294	1551	187	2921	1396	8482	12670	16087
35247	1302	1609	190	2933	1361	8547	12734	16055
35307	1289	1572	199	2879	1374	8466	12720	16123
35367	1293	1568	197	2934	1369	8589	12723	15994
35427	1306	1576	185	2881	1371	8466	12749	16005
35487	1280	1604	187	2913	1372	8508	12752	15964
