640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5	D2	D3	D4	D5	E2	E3	E4	E5	F2	F3	F4	F5
16035	966	3361	2124	7	17177	33177	20045	43337	2194	48017	2069	42287	2596	32661	2445	11123	7	4	2006	8459
16095	984	3359	2167	6	17411	33345	20059	43393	2167	48124	2082	41853	2596	32961	2477	11113	5	3	2020	8394
16155	1000	3409	2131	11	17135	33061	20247	43428	2166	48327	2057	41981	2627	33051	2442	11121	5	5	2033	8479
16215	991	3406	2197	3	17405	33198	20165	43448	2134	48313	2125	42234	2633	33410	2451	11261	7	4	2024	8509
16275	997	3412	2110	10	17303	33336	20240	43366	2232	48460	2058	42083	2719	33715	2521	11108	6	5	2023	8485
16335	1020	3364	2235	8	17356	33306	20198	43289	2165	48379	2076	42260	2650	33707	2514	11295	4	3	2006	8522
16395	998	3416	2146	6	17317	33174	20417	43609	2141	48257	2078	42373	2662	34270	2493	11216	4	7	2046	8477
16455	1029	3400	2204	7	17424	33472	20402	43689	2257	48547	2159	42140	2703	34204	2516	11294	6	7	2056	8521
16515	1020	3416	2204	10	17442	33619	20414	43447	2214	48436	2115	42282	2638	34524	2495	11275	8	3	2034	8665
16575	1003	3440	2280	4	17351	33591	20451	44054	2215	48470	2150	42447	2692	35041	2523	11418	5	5	2043	8590
16635	1001	3435	2224	7	17491	33437	20585	43895	2219	48532	2170	42543	2698	35253	2472	11458	9	6	2038	8598
16695	1019	3428	2187	9	17542	33643	20570	43624	2235	48528	2103	42570	2747	35429	2553	11464	4	5	2068	8582
16755	1007	3409	2233	7	17759	33772	20743	43487	2214	48715	2113	42573	2743	35774	2532	11432	8	6	2018	8635
