Time	H2	H3	H4	H5	I2	I3	I4	I5	J2	J3	J4	J5	K2	K3	K4	K5	L2	L3	L4	L5	M2	M3	M4	M5
13679	38951	38627	41803	43861	6933	4364	18411	3502	2658	2376	3238	960	38280	24562	38506	28299	8728	5447	8509	7100	3236	2150	3376	12
13739	39299	38532	41598	44096	6915	4379	18498	3475	2668	2448	3208	942	38115	24650	38320	28100	8695	5418	8506	7162	3348	2146	3397	8
13799	39094	38524	41765	44038	7045	4379	18783	3511	2655	2470	3203	980	38063	24887	38398	28515	8824	5630	8670	7189	3335	2137	3336	7
13859	39239	38638	41531	44220	6920	4354	18729	3552	2696	2441	3281	968	37887	25119	38104	28797	8764	5554	8713	7173	3315	2153	3430	8
13919	39143	39179	41926	44353	7017	4410	19063	3580	2710	2518	3308	956	38252	24957	38481	29023	8907	5506	8685	7349	3311	2184	3398	11
13979	39055	39004	41673	44484	7151	4452	19062	3572	2672	2500	3260	961	38069	25161	38259	29143	8951	5580	8798	7268	3347	2182	3457	8
14039	39039	38920	42099	44678	7150	4430	19417	3573	2745	2440	3334	979	38247	25295	38200	29552	8944	5584	9035	7518	3361	2208	3460	9
14099	39110	39072	41921	44624	7196	4506	19590	3620	2749	2484	3355	969	38111	25512	38366	29734	9077	5642	8964	7499	3369	2206	3490	12
14159	39249	39131	41927	44593	7262	4583	19853	3682	2771	2527	3394	967	38254	25504	38404	30084	9100	5671	9053	7520	3430	2217	3517	9
14219	39113	39118	41888	44960	7209	4592	19923	3701	2798	2549	3378	992	38276	25464	38169	30146	9231	5657	9100	7593	3421	2235	3480	9
14279	39317	39146	41840	44983	7172	4608	20148	3688	2790	2511	3413	974	38358	25843	38178	30328	9193	5733	9199	7687	3493	2242	3534	9
14339	39235	39133	42231	44857	7265	4589	20247	3745	2848	2499	3511	1025	38125	25807	38412	30596	9299	5761	9237	7659	3501	2256	3556	11
14399	38991	39167	41744	45050	7282	4586	20394	3800	2812	2526	3460	976	38158	25843	38195	30683	9296	5724	9274	7615	3487	2260	3539	7
14459	39040	39296	41827	44965	7217	4572	20407	3742	2794	2542	3478	988	38264	26004	38147	30931	9351	5853	9435	7832	3494	2343	3580	12
14519	39029	39504	42111	45138	7456	4688	20699	3777	2796	2541	3433	1004	38281	25872	38155	31016	9559	5881	9417	7792	3546	2280	3595	8
14579	39185	39892	42042	44961	7339	4552	20931	3876	2854	2611	3539	993	38335	26321	38210	31444	9528	5899	9477	7770	3554	2352	3613	13
14639	39045	40043	41590	45181	7467	4674	21078	3903	2873	2597	3614	1003	38065	26705	38146	31430	9513	5965	9635	7878	3528	2335	3610	9
14699	39103	39548	41609	44950	7407	4730	21246	3951	2852	2587	3565	1004	38162	26499	38277	31860	9706	5924	9629	7871	3538	2347	3656	11
14759	39366	39742	41845	45178	7507	4707	21343	3888	2855	2687	3622	1002	38232	26766	38402	31941	9592	6096	9732	8045	3609	2340	3673	10
14819	38977	39612	41869	45170	7515	4803	21497	3987	2949	2671	3622	977	38159	26737	38122	31931	9740	6105	9834	8105	3587	2379	3675	9
14879	39468	39870	41991	45016	7558	4811	21668	3885	2915	2612	3697	1025	38090	26979	38293	32203	9701	6079	9758	8201	3568	2367	3677	8
