	J10	J11	J12	J13	K10	K11	K12	K13	L10	L11	L12	L13	M10	M11	M12	M13	N10	N11	N12	N13	O10	O11	O12	O13
9904	38172	43005	42017	45066	27872	13910	20050	7478	8305	5298	5061	4570	38182	38427	39938	34114	27405	11916	13728	9051	6136	2465	5813	2565
9964	37942	42849	42263	44786	28245	14149	20338	7674	8597	5332	5058	4577	38008	38330	39856	34545	27844	12100	13899	9343	6273	2550	5841	2595
10024	38062	42925	41977	44804	28735	14371	20602	7750	8658	5463	5226	4619	37821	38523	39828	35037	28363	12270	14169	9359	6382	2556	5969	2602
10084	37871	43037	42043	44494	29219	14608	20869	7814	8820	5521	5232	4710	38007	38494	39869	35189	28700	12538	14236	9503	6495	2579	5976	2575
10144	38087	43086	42107	44784	29623	14799	21140	7961	8967	5658	5332	4719	38100	38433	39921	35377	29094	12546	14430	9706	6531	2585	6151	2586
10204	37905	42769	42031	44604	30172	14982	21327	8093	9060	5741	5460	4887	37922	38593	39941	35740	29457	12757	14719	9798	6565	2587	6188	2658
10264	37719	42724	41854	44806	30577	15234	21708	8210	9209	5809	5470	4911	37941	38431	39884	36118	29644	13059	14939	9954	6695	2636	6286	2663
10324	37779	42961	42009	44745	30871	15648	22037	8288	9362	5972	5565	4959	38031	38145	39850	36480	30301	13289	15077	9992	6779	2708	6402	2683
10384	38117	42857	42055	44564	31409	15787	22267	8361	9502	6020	5614	5041	37911	38330	39889	36859	30626	13403	15299	10143	6848	2728	6476	2678
10444	38287	43050	42208	44858	31609	16085	22597	8673	9750	6144	5680	5091	37903	38649	40120	37015	30910	13592	15496	10198	7039	2748	6443	2779
10504	37970	42911	41972	44649	32065	16250	22900	8710	9845	6158	5861	5179	37980	38551	39753	37493	31303	13779	15668	10468	7116	2735	6529	2778
10564	37974	43093	42251	44723	32446	16702	23272	8679	9931	6267	5848	5149	37834	38574	39827	37691	31684	13998	15884	10626	7153	2819	6631	2824
10624	37840	43186	42136	44897	32919	16939	23467	8982	10131	6276	5971	5242	37628	38517	40018	38097	31925	14057	16016	10672	7286	2869	6696	2809
10684	37770	43133	41949	44917	33311	17133	23792	9092	10243	6385	6054	5361	38258	38564	39834	38198	32231	14245	16224	10753	7464	2872	6889	2900
10744	37821	43145	42078	44763	33914	17249	24000	9085	10456	6543	6154	5527	38008	38640	39928	38761	32723	14444	16505	10967	7414	2902	6914	2896
10804	37811	43149	42004	44847	34269	17538	24233	9237	10602	6555	5999	5498	37910	38340	39897	38878	32791	14726	16539	11017	7542	2963	7019	2854
10864	38063	42753	41999	44730	34683	17641	24604	9367	10763	6873	6244	5579	37967	38663	39879	39008	33376	14940	16828	11265	7561	2938	7082	2939
10924	37993	43031	42075	44776	34945	18177	24855	9452	10981	6860	6230	5697	38368	38567	39801	39327	33444	14981	17068	11270	7739	2992	7131	3039
10984	37836	42796	42101	45040	35600	18303	25233	9527	11050	6860	6422	5764	38012	38697	39806	39565	33866	15275	17153	11583	7823	3010	7139	3038
11044	37982	43105	42345	44951	36034	18571	25409	9668	11214	6982	6516	5833	38181	38748	39904	39571	34226	15504	17439	11503	7894	3022	7223	2987
11104	37904	43129	42096	44997	36390	18854	25605	9806	11361	7079	6497	5921	37714	38430	39869	39984	34193	15571	17583	11688	7893	3070	7385	3038
11164	37992	43031	42186	45039	36561	19159	25988	10035	11582	7223	6665	5916	37888	38750	39937	40032	34843	15852	17815	11823	7927	3135	7378	3054
11224	37939	43124	42027	44889	37202	19508	26476	10040	11773	7288	6660	5980	37969	38655	39944	40319	34721	15825	18128	12002	8189	3059	7489	3080
11284	38068	42984	42040	44873	37449	19879	26496	10157	11799	7455	6695	6104	37970	38615	40143	40452	34873	16357	18265	12133	8278	3168	7577	3139
11344	38102	42915	42162	45052	37518	19791	26675	10234	12031	7491	6891	6135	38182	38379	39810	40405	35408	16461	18367	12188	8374	3268	7600	3186
11404	38115	43183	42331	44861	37933	19987	27179	10395	12202	7539	6831	6179	37763	38675	39896	40744	35730	16422	18748	12431	8461	3226	7627	3210
11464	37850	43216	42092	44978	38502	20336	27419	10385	12384	7676	7042	6236	37890	38674	39903	40966	35918	16785	18775	12693	8519	3293	7752	3205
11524	37917	43321	42096	44998	38873	20619	27603	10754	12462	7850	7141	6355	37986	38726	39621	41062	35862	16949	19061	12629	8671	3307	7903	3295
11584	37714	42958	42134	44709	39083	20807	27965	10690	12629	7734	7271	6391	37994	38383	40029	41218	36159	17033	19160	12766	8675	3335	7971	3284
11644	37813	43285	42119	44846	39567	21312	28031	10813	12834	7934	7346	6397	38091	38660	40061	41350	36124	17244	19327	12796	8780	3334	8055	3339
11704	38089	43161	42051	44976	39866	21318	28436	11101	13105	8108	7296	6552	37876	38590	39641	41452	36307	17508	19521	13016	8969	3387	8098	3294
11764	37882	43089	41993	44967	40003	21669	28959	11149	13098	8161	7483	6650	38166	38901	39895	41644	36550	17648	19751	13125	9023	3398	8194	3405
11824	37707	42976	42281	44787	40283	21886	28915	11331	13232	8184	7390	6655	37952	38284	39943	41564	36477	18029	20102	13175	9040	3448	8258	3443
11884	37723	43347	42066	44850	40685	22074	29295	11349	13434	8340	7559	6713	38004	38667	40032	41682	36782	18140	20216	13397	9207	3482	8428	3433
11944	37792	42897	42223	45070	40956	22646	29522	11429	13493	8395	7709	6911	38255	38757	39957	41897	37164	18284	20480	13584	9280	3457	8389	3483
12004	37870	43047	42345	44864	41362	22857	29773	11563	13647	8649	7785	6969	38009	38874	39785	41716	36921	18453	20728	13637	9395	3501	8530	3458
12064	37977	43067	42236	45085	41538	22969	30105	11766	13832	8651	7855	6972	38011	38780	40165	41919	37053	18700	20861	13921	9374	3574	8500	3497
12124	37653	43365	42151	44971	41559	23158	30220	11913	14057	8620	7853	6990	37782	38818	39983	41987	37261	18901	21085	14029	9538	3601	8677	3530
12184	38003	43183	42032	44846	42016	23473	30670	11905	14212	8878	8000	7036	37922	38995	39829	41639	37454	19125	21109	14066	9627	3664	8706	3530
12244	37969	43185	41980	44723	42422	23781	30715	11984	14378	8897	8000	7202	37952	38669	39817	42066	37513	19258	21498	14267	9801	3640	8729	3561
12304	37863	43010	42008	45119	42613	23867	30986	12095	14621	9042	8113	7302	37860	38585	39960	42069	37274	19494	21602	14378	9709	3631	8784	3609
12364	37870	43389	42135	44962	42790	24334	31332	12308	14807	9077	8223	7311	37895	38729	39656	42195	37606	19641	21795	14572	9901	3691	8951	3687
12424	38081	42992	41929	44857	42929	24662	31553	12431	15029	9281	8353	7525	38132	38667	39720	42099	37489	19727	21962	14517	10114	3687	9086	3682
12484	37894	43142	42124	44939	42882	25046	31819	12594	15009	9317	8397	7481	38073	38733	39787	42499	37646	20015	22238	14721	10010	3709	9131	3684
12544	37912	42910	41966	44704	43319	24990	32009	12650	15247	9514	8517	7532	37974	38845	39941	42270	37492	20157	22300	14784	10208	3812	9119	3739
12604	37714	43417	42114	45087	43431	25400	32325	12938	15424	9487	8547	7655	38132	38506	39776	42153	37593	20195	22541	14967	10199	3884	9233	3726
12664	38029	43356	42247	45117	43465	25509	32419	12865	15465	9648	8584	7682	38153	39030	39804	42058	37547	20532	22691	15206	10416	3823	9360	3772
12724	38210	43337	41948	44969	43619	25824	32454	13116	15768	9680	8729	7724	37937	38713	39836	42356	37963	20752	23053	15345	10503	3825	9279	3817
12784	37916	43262	42112	44785	43663	26159	32718	13226	15884	9943	8812	7820	37891	38613	39758	42363	37813	20960	23279	15315	10578	3916	9420	3834
12844	37885	43167	42142	44703	44144	26384	32970	13310	16130	9966	8850	7911	38068	38718	39906	42369	37705	21106	23401	15533	10677	3930	9644	3844
12904	37933	43221	42063	44923	44134	26634	33467	13482	16185	10052	8994	7921	38334	38563	40014	42274	37868	21176	23378	15676	10745	4003	9644	3876
12964	38074	43059	42240	44928	44279	26774	33579	13548	16181	10152	9000	8053	38204	38688	39735	42203	38043	21623	23834	15744	10841	4044	9755	3920
13024	38079	43301	42287	45023	44250	27135	33939	13685	16634	10196	9211	8112	37948	38742	39922	42460	37805	21694	23896	15986	10946	4067	9828	3917
13084	37927	43251	42254	45068	44386	27427	34017	13786	16712	10353	9141	8215	38069	38651	39882	42240	37809	21789	24091	16208	11044	4051	9911	4016
13144	37998	43202	42040	44943	44571	27569	34127	14023	17017	10496	9354	8392	37901	38801	39897	42269	37743	21922	24238	16115	11083	4099	9946	4046
13204	38160	43073	42236	44979	44586	27965	34415	14122	17308	10546	9432	8375	37966	38712	39776	42221	37812	22172	24509	16417	11311	4160	10037	4069
13264	38028	42880	42178	45000	44247	28131	34685	14267	17051	10669	9559	8546	38002	38544	39898	42419	37910	22288	24512	16423	11290	4187	10039	4065
13324	38225	43031	42235	45020	44374	28367	34647	14324	17434	10728	9577	8532	38104	38766	39786	42315	37843	22654	24781	16668	11352	4238	10092	4177
13384	37939	43060	41985	44909	44571	28724	35153	14483	17653	10980	9793	8613	38078	38649	39764	42381	37967	22749	24928	16739	11508	4311	10283	4073
13444	38111	43359	42084	45009	44875	28722	35367	14658	17781	10937	9804	8665	38116	38658	39837	42382	37803	23026	25242	16968	11678	4233	10332	4168
13504	37955	43247	42128	44974	44585	28964	35478	14692	17895	11195	9738	8829	38081	38619	39900	42452	38017	23108	25392	16996	11708	4326	10442	4181
13564	37751	43223	41634	44830	44821	29318	35478	14737	18140	11154	9884	8753	38058	38630	39826	42172	37716	23332	25543	17096	11737	4262	10412	4114
13624	38029	43040	41988	45043	44684	29666	35972	15002	18430	11313	10010	8972	38058	38983	40037	42248	38200	23477	25818	17212	11860	4310	10531	4222
13684	37967	43229	42423	44851	44786	30076	36085	15055	18423	11517	10156	8984	38212	39008	39912	42551	37793	23685	25967	17533	12036	4334	10704	4223
13744	37926	43282	41970	44842	44949	30290	36431	15257	18660	11499	10177	9074	38030	38527	39573	42455	37754	23794	26027	17454	12071	4411	10692	4339
13804	37821	43166	41964	45335	44743	30471	36493	15270	18886	11650	10391	9099	38158	38845	39633	42556	37982	24205	26372	17655	12108	4477	10741	4317
13864	37946	43166	42241	44913	45043	30726	36543	15357	18895	11812	10315	9267	38017	38722	39871	42254	37737	24269	26361	17750	12222	4394	10801	4303
13924	38059	43226	42238	45176	44790	30952	36939	15580	19001	11740	10446	9368	38197	38614	39861	42332	37606	24451	26622	17798	12314	4453	11047	4369
13984	37879	43123	41990	44990	44827	31005	36818	15705	19360	11873	10535	9383	38004	38955	40246	42559	37630	24594	26765	17931	12529	4528	10963	4360
14044	37926	43210	41859	44868	45310	31460	36977	15921	19548	12118	10633	9483	38217	38794	39759	42386	37874	24839	27081	18177	12475	4517	11186	4371
14104	37836	43108	42271	45039	44894	31545	37333	15934	19589	12200	10613	9586	37837	38484	39892	42159	37889	25056	27224	18340	12480	4604	11221	4422
14164	37914	43155	41943	44963	45157	31748	37491	15987	19856	12248	10724	9538	37824	38923	39962	42179	37652	25228	27307	18454	12792	4647	11195	4418
